,0
0,4141.539562681624
1,3872.3092453073427
2,3572.313718110073
3,3334.731905234172
4,3166.0221546731605
5,3041.801900002798
6,3023.9767938614605
7,2969.5811692235848
8,2941.7273810916226
9,2911.1278234105093
10,2863.468675387618
11,2813.3269048702846
12,2784.3608778050625
13,2747.7802324087274
14,2733.4687308462267
15,2724.157900234893
16,2696.9586141179507
17,2666.002795684663
18,2630.324697361769
19,2602.9341636833315
20,2565.31271127688
21,2521.42260743383
22,2492.098522926364
23,2455.389961092351
24,2435.5310545049365
25,2414.5778561366133
26,2384.405860723277
27,2342.9805499036293
28,2310.2906494917906
29,2256.5692611516274
30,2220.635399093455
31,2188.8259005338814
32,2149.738573182015
33,2097.7964318741897
34,2074.7994484180645
35,2060.302045197604
36,2044.3956397983884
37,2033.4061897421693
38,2014.332083473804
39,1996.4802472018632
40,1972.631549416906
41,1954.861538267149
42,1937.6098417857754
43,1911.0632046311662
44,1861.504925027465
45,1809.1682226721864
46,1753.5982281964598
47,1714.8381601605367
48,1668.1735026938911
49,1637.5689745683549
50,1598.3226437748044
51,1567.5121916569935
52,1550.7680330614332
53,1531.2056776590784
54,1525.1371509160974
55,1512.990611213658
56,1507.9879217974626
57,1449.126615343875
58,1426.9622129450258
59,1398.7129798997364
60,1369.854308579429
61,1357.4021326569773
62,1339.8348832637907
63,1330.1740765579168
64,1314.3145049049647
65,1300.9253897041774
66,1292.16536434018
67,1273.408365217114
68,1254.5897165614426
69,1244.0906854992738
70,1238.5008257029272
71,1233.6541783719367
72,1223.7372595904603
73,1215.5188425621639
74,1208.0228249097609
75,1196.1144387288675
76,1181.4894009147881
77,1178.9893856167873
78,1172.4255046148264
79,1158.6288471662397
80,1144.2256462198357
81,1131.920316092754
82,1125.682309094895
83,1115.971616614516
84,1105.130048794617
85,1101.3809731497895
86,1102.0755233993189
87,1098.4927432474533
88,1096.4251024161745
89,1089.6451469057552
90,1085.2657557029884
91,1079.9045945987525
92,1077.1796640641826
93,1070.3938969887836
94,1060.8376874363014
95,1056.8511536179665
96,1054.6630102685242
97,1045.6016162260898
98,1042.3028283230117
99,1041.231301943501
100,1036.7118642685998
101,1037.8046312499157
102,1033.8494052543272
103,1014.6730541703039
104,1005.4252624453899
105,1007.1023502889951
106,1001.0480238006508
107,997.6043075725639
108,996.9261781672578
109,982.6305016927859
110,976.0829948094289
111,962.8725275657918
112,951.7539744960901
113,954.1098930039665
114,945.2459478417637
115,930.7484936656532
116,928.127285841939
117,924.8136544803885
118,915.1407205638902
119,905.4139114357948
120,896.6568662705799
